SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0012001,1.4,0.1,6,0.5,1,0.002,True
DOE_0012010,1.4,0.1,6,0.5,1,0.006,False
DOE_0012011,1.4,0.1,6,0.5,1,0.006,True
DOE_0012020,1.4,0.1,6,0.5,1,0.01,False
DOE_0012021,1.4,0.1,6,0.5,1,0.01,True
DOE_0012100,1.4,0.1,6,0.5,2,0.002,False
DOE_0012101,1.4,0.1,6,0.5,2,0.002,True
DOE_0012110,1.4,0.1,6,0.5,2,0.006,False
DOE_0012111,1.4,0.1,6,0.5,2,0.006,True
DOE_0012120,1.4,0.1,6,0.5,2,0.01,False
DOE_0012121,1.4,0.1,6,0.5,2,0.01,True
DOE_0012200,1.4,0.1,6,0.5,3,0.002,False
DOE_0012201,1.4,0.1,6,0.5,3,0.002,True
DOE_0012210,1.4,0.1,6,0.5,3,0.006,False
DOE_0012211,1.4,0.1,6,0.5,3,0.006,True
DOE_0012220,1.4,0.1,6,0.5,3,0.01,False
DOE_0012221,1.4,0.1,6,0.5,3,0.01,True
DOE_0020000,1.4,0.1,10,0.1,1,0.002,False
DOE_0020001,1.4,0.1,10,0.1,1,0.002,True
DOE_0020010,1.4,0.1,10,0.1,1,0.006,False
DOE_0020011,1.4,0.1,10,0.1,1,0.006,True
DOE_0020020,1.4,0.1,10,0.1,1,0.01,False
DOE_0020021,1.4,0.1,10,0.1,1,0.01,True
DOE_0020100,1.4,0.1,10,0.1,2,0.002,False
DOE_0020101,1.4,0.1,10,0.1,2,0.002,True
DOE_0020110,1.4,0.1,10,0.1,2,0.006,False
DOE_0020111,1.4,0.1,10,0.1,2,0.006,True
DOE_0020120,1.4,0.1,10,0.1,2,0.01,False
DOE_0020121,1.4,0.1,10,0.1,2,0.01,True
DOE_0020200,1.4,0.1,10,0.1,3,0.002,False
DOE_0020201,1.4,0.1,10,0.1,3,0.002,True
DOE_0020210,1.4,0.1,10,0.1,3,0.006,False
DOE_0020211,1.4,0.1,10,0.1,3,0.006,True
DOE_0020220,1.4,0.1,10,0.1,3,0.01,False
DOE_0020221,1.4,0.1,10,0.1,3,0.01,True
DOE_0021000,1.4,0.1,10,0.3,1,0.002,False
DOE_0021001,1.4,0.1,10,0.3,1,0.002,True
DOE_0021010,1.4,0.1,10,0.3,1,0.006,False
DOE_0021011,1.4,0.1,10,0.3,1,0.006,True
DOE_0021020,1.4,0.1,10,0.3,1,0.01,False
DOE_0021021,1.4,0.1,10,0.3,1,0.01,True
DOE_0021100,1.4,0.1,10,0.3,2,0.002,False
DOE_0021101,1.4,0.1,10,0.3,2,0.002,True
DOE_0021110,1.4,0.1,10,0.3,2,0.006,False
DOE_0021111,1.4,0.1,10,0.3,2,0.006,True
DOE_0021120,1.4,0.1,10,0.3,2,0.01,False
DOE_0021121,1.4,0.1,10,0.3,2,0.01,True
DOE_0021200,1.4,0.1,10,0.3,3,0.002,False
DOE_0021201,1.4,0.1,10,0.3,3,0.002,True
DOE_0021210,1.4,0.1,10,0.3,3,0.006,False
DOE_0021211,1.4,0.1,10,0.3,3,0.006,True
DOE_0021220,1.4,0.1,10,0.3,3,0.01,False
DOE_0021221,1.4,0.1,10,0.3,3,0.01,True
DOE_0022000,1.4,0.1,10,0.5,1,0.002,False
DOE_0022001,1.4,0.1,10,0.5,1,0.002,True
DOE_0022010,1.4,0.1,10,0.5,1,0.006,False
DOE_0022011,1.4,0.1,10,0.5,1,0.006,True
DOE_0022020,1.4,0.1,10,0.5,1,0.01,False
DOE_0022021,1.4,0.1,10,0.5,1,0.01,True
DOE_0022100,1.4,0.1,10,0.5,2,0.002,False
DOE_0022101,1.4,0.1,10,0.5,2,0.002,True
DOE_0022110,1.4,0.1,10,0.5,2,0.006,False
DOE_0022111,1.4,0.1,10,0.5,2,0.006,True
DOE_0022120,1.4,0.1,10,0.5,2,0.01,False
DOE_0022121,1.4,0.1,10,0.5,2,0.01,True
DOE_0022200,1.4,0.1,10,0.5,3,0.002,False
DOE_0022201,1.4,0.1,10,0.5,3,0.002,True
DOE_0022210,1.4,0.1,10,0.5,3,0.006,False
DOE_0022211,1.4,0.1,10,0.5,3,0.006,True
DOE_0022220,1.4,0.1,10,0.5,3,0.01,False
DOE_0022221,1.4,0.1,10,0.5,3,0.01,True
DOE_0100000,1.4,0.3,2,0.1,1,0.002,False
DOE_0100001,1.4,0.3,2,0.1,1,0.002,True
DOE_0100010,1.4,0.3,2,0.1,1,0.006,False
